rank,band,bucket,title,template_id,live_supply,live_supply_status,issued_supply,max_supply,pre_baseline_missing_or_burned,missing_or_burned_count,rarity_trait,rarity_live_exposure,variation_trait,variation_live_exposure,final_score,url,atomicassets_url,atomichub_url
13,Ultra Rare,ranked,⚡️⚡️⚡️ Robin-Ronin Rampage 🤖,783747,7,counted,7,100,0,0,#ALLCITYBUYS ⚡️⚡️⚡️,7,LONDONZ CALLING ⚡️⚡️⚡️,7,66.0984,/wiki/gkniftyheads-robin-ronin-rampage-783747.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783747,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783747
14,Ultra Rare,ranked,⚡️⚡️⚡️ CZen Zone Zero Zealot 🤖,783755,7,counted,7,100,0,0,THΞ ₿LØ℃K$TΔR̸$ 🌈,7,Eternal Voidwalker ⚡️⚡️⚡️,7,66.0984,/wiki/gkniftyheads-czen-zone-zero-zealot-783755.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783755,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783755
15,Rare,ranked,⚡️⚡️⚡️ Cyber Shinobi Strike 🤖,783757,7,counted,7,100,0,0,Abyssal Leviathan ☠️,7,Celestial Sentinel 🤖,7,66.0984,/wiki/gkniftyheads-cyber-shinobi-strike-783757.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783757,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783757
16,Rare,ranked,⚡️⚡️⚡️ Zenith Zephyr Zealot 🤖,783759,8,counted,8,100,0,0,Shadow Seraph 🤖,8,Frostfire Elemental ⚡️⚡️⚡️,8,61.2815,/wiki/gkniftyheads-zenith-zephyr-zealot-783759.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783759,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783759
17,Uncommon,ranked,⚡️⚡️⚡️ Tsunami BTC Titan 🤖,783760,8,counted,8,100,0,0,BTC TITAN ☠️,8,Astral Ascendant 🤖,8,61.2815,/wiki/gkniftyheads-tsunami-btc-titan-783760.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783760,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783760
18,Uncommon,ranked,⚡️⚡️⚡️ Doughnut 🍩 Ninja Nova 🤖,783764,8,counted,8,100,0,0,Dreadnought Desolator 🍩,8,Doughnut 🍩 Conqueror 🤖,8,61.2815,/wiki/gkniftyheads-doughnut-ninja-nova-783764.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783764,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783764
19,Uncommon,ranked,⚡️⚡️⚡️ WAXP JOKE$TER ⚡️⚡️⚡️,784344,9,counted,9,100,0,0,Bitcoinker of Chaos 👀,9,Pancake Prankster ⚡️⚡️⚡️,9,56.4645,/wiki/gkniftyheads-waxp-joke-ter-784344.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/784344,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=784344
20,Uncommon,ranked,⚡️⚡️⚡️ WAXP BOBBY $TORM 👀,784340,10,counted,10,50,0,0,Uniswap Undefeatable 👀,10,Coin Ravager ⚡️⚡️⚡️,10,51.6476,/wiki/gkniftyheads-waxp-bobby-torm-784340.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/784340,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=784340
21,Uncommon,ranked,WE ARE VANDALS NOT VANDULS,775997,11,counted,11,11,0,0,LONDONZ WHITE TRASH,11,VANDALS,11,46.8307,/wiki/gkniftyheads-we-are-vandals-not-vanduls-775997.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/775997,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=775997
22,Common,ranked,⚡️⚡️⚡️ Bitforce Bitcoin Battler ⚡️⚡️⚡️,784332,11,counted,11,50,0,0,⚡️⚡️⚡️ Crypto Knight Coin Crusher ☠️,11,Satoshi Savior ⚡️⚡️⚡️,11,46.8307,/wiki/gkniftyheads-bitforce-bitcoin-battler-784332.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/784332,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=784332
23,Common,ranked,⚡️⚡️⚡️ Cyber Shinobi Shroud 🤖,783468,12,counted,12,100,0,0,Emperor&#x27;s Elite ⚡️⚡️⚡️,12,NOT GOING OUT LIKE OBI-WAN,12,42.0137,/wiki/gkniftyheads-cyber-shinobi-shroud-783468.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783468,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783468
24,Common,ranked,"⚡️⚡️⚡️ Lotus Luminary ""CHARLIE BUSTER"" Lancer 🤖",783470,12,counted,12,100,0,0,Cyber Shinobi ⚡️⚡️⚡️,12,NO BALL GAMES ⚡️⚡️⚡️,12,42.0137,/wiki/gkniftyheads-lotus-luminary-charlie-buster-lancer-783470.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783470,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783470
25,Common,ranked,WE ARE VANDALS NOT VANDULS ⚡️⚡️⚡️,775999,10,counted,10,10,0,0,LONDONZ WHITE TRASH 👑👈,10,VANDALS ⚡️⚡️⚡️,24,39.4737,/wiki/gkniftyheads-we-are-vandals-not-vanduls-775999.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/775999,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=775999
26,Common,ranked,👉 BITCOIN KiD TV HEADS 100 ⚡️⚡️⚡️,776074,13,counted,13,100,0,0,$HIT $HOW ⚡️⚡️⚡️,13,VANDALS ⚡️⚡️⚡️,24,27.6316,/wiki/gkniftyheads-bitcoin-kid-tv-heads-100-776074.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/776074,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=776074
27,Common,ranked,BITCOIN KiD x SARAHPFLY,773225,20,counted,20,20,0,0,ROCKIN HORSE INFINITY SHIT,20,GKniftyHEADS,20,3.4783,/wiki/gkniftyheads-bitcoin-kid-x-sarahpfly-773225.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/773225,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=773225
,Utility / Open Mint,utility_open_mint,👉 GKniftyHEADS FUN COUPON ⚡️⚡️⚡️,782888,123450,counted,123450,0,0,0,ROCKING HORSE SHIT,,GK FUN COUPON,,,/wiki/gkniftyheads-gkniftyheads-fun-coupon-782888.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/782888,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=782888
,Utility / Open Mint,utility_open_mint,"🤘 Andrea ""Blockchain Buccaneer"" Moretti 👑",783455,72,counted,72,0,0,0,Merkle Mastermind 👀,,#HODLWARS,,,/wiki/gkniftyheads-andrea-blockchain-buccaneer-moretti-783455.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783455,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783455
