asset_rank,asset_final_score,asset_id,template_id,owner,template_rank,template_final_score,template_score_component,original_mint_number,original_mint_score,original_mint_score_component,original_mint_status,surviving_mint_rank,surviving_mint_rank_score,surviving_mint_rank_score_component,surviving_mint_rank_status,live_supply,issued_supply,rarity_band,burned,price_used,market_data_used
135,32.0984,1099921695299,775997,,21,46.8306,28.0984,10,0.1,2,ok,10,0.1,2,ok,11,11,Uncommon,false,false,false
136,32.0984,1099937354700,784332,.w4rg.wam,22,46.8306,28.0984,10,0.1,2,ok,10,0.1,2,ok,11,11,Common,false,false,false
137,31.5606,1099920587914,773225,,27,3.4783,2.087,6,0.736842,14.7368,ok,6,0.736842,14.7368,ok,20,20,Common,false,false,false
138,30.9886,1099954798721,784340,kvkb4.wam,20,51.6476,30.9886,10,0,0,ok,10,0,0,ok,10,10,Uncommon,false,false,false
139,29.9124,1099925480313,776074,sanbw.wam,26,27.6316,16.579,9,0.333333,6.6667,ok,9,0.333333,6.6667,ok,13,13,Common,false,false,false
140,29.4554,1099920587915,773225,,27,3.4783,2.087,7,0.684211,13.6842,ok,7,0.684211,13.6842,ok,20,20,Common,false,false,false
141,28.8446,1099925583264,783468,xsph.wam,23,42.0137,25.2082,11,0.090909,1.8182,ok,11,0.090909,1.8182,ok,12,12,Common,false,false,false
142,28.8446,1099929499762,783470,wdsra.wam,24,42.0137,25.2082,11,0.090909,1.8182,ok,11,0.090909,1.8182,ok,12,12,Common,false,false,false
143,28.1286,1099921696308,775999,,25,39.4737,23.6842,9,0.111111,2.2222,ok,9,0.111111,2.2222,ok,10,10,Common,false,false,false
144,28.0984,1099921717187,775997,,21,46.8306,28.0984,11,0,0,ok,11,0,0,ok,11,11,Uncommon,false,false,false
145,28.0984,1099954798611,784332,kvkb4.wam,22,46.8306,28.0984,11,0,0,ok,11,0,0,ok,11,11,Common,false,false,false
146,27.3502,1099920587916,773225,,27,3.4783,2.087,8,0.631579,12.6316,ok,8,0.631579,12.6316,ok,20,20,Common,false,false,false
147,26.579,1099925573233,776074,i5d52.c.wam,26,27.6316,16.579,10,0.25,5,ok,10,0.25,5,ok,13,13,Common,false,false,false
148,25.2448,1099920587917,773225,,27,3.4783,2.087,9,0.578947,11.5789,ok,9,0.578947,11.5789,ok,20,20,Common,false,false,false
149,25.2082,1099929499767,783468,kvkb4.wam,23,42.0137,25.2082,12,0,0,ok,12,0,0,ok,12,12,Common,false,false,false
150,25.2082,1099936649013,783470,oemlc.c.wam,24,42.0137,25.2082,12,0,0,ok,12,0,0,ok,12,12,Common,false,false,false
151,23.6842,1099921696309,775999,,25,39.4737,23.6842,10,0,0,ok,10,0,0,ok,10,10,Common,false,false,false
152,23.2456,1099925574475,776074,nzo3w.wam,26,27.6316,16.579,11,0.166667,3.3333,ok,11,0.166667,3.3333,ok,13,13,Common,false,false,false
153,23.1396,1099920587918,773225,,27,3.4783,2.087,10,0.526316,10.5263,ok,10,0.526316,10.5263,ok,20,20,Common,false,false,false
154,21.0344,1099921698116,773225,,27,3.4783,2.087,11,0.473684,9.4737,ok,11,0.473684,9.4737,ok,20,20,Common,false,false,false
155,19.9124,1099926100222,776074,xsph.wam,26,27.6316,16.579,12,0.083333,1.6667,ok,12,0.083333,1.6667,ok,13,13,Common,false,false,false
156,18.9292,1099921698117,773225,,27,3.4783,2.087,12,0.421053,8.4211,ok,12,0.421053,8.4211,ok,20,20,Common,false,false,false
157,16.8238,1099921698118,773225,,27,3.4783,2.087,13,0.368421,7.3684,ok,13,0.368421,7.3684,ok,20,20,Common,false,false,false
158,16.579,1099969756796,776074,kvkb4.wam,26,27.6316,16.579,13,0,0,ok,13,0,0,ok,13,13,Common,false,false,false
159,14.7186,1099921698119,773225,,27,3.4783,2.087,14,0.315789,6.3158,ok,14,0.315789,6.3158,ok,20,20,Common,false,false,false
160,12.6134,1099921698120,773225,,27,3.4783,2.087,15,0.263158,5.2632,ok,15,0.263158,5.2632,ok,20,20,Common,false,false,false
161,10.508,1099921698121,773225,,27,3.4783,2.087,16,0.210526,4.2105,ok,16,0.210526,4.2105,ok,20,20,Common,false,false,false
162,8.4028,1099921698122,773225,,27,3.4783,2.087,17,0.157895,3.1579,ok,17,0.157895,3.1579,ok,20,20,Common,false,false,false
163,6.2976,1099921698123,773225,,27,3.4783,2.087,18,0.105263,2.1053,ok,18,0.105263,2.1053,ok,20,20,Common,false,false,false
164,4.1922,1099921698124,773225,,27,3.4783,2.087,19,0.052632,1.0526,ok,19,0.052632,1.0526,ok,20,20,Common,false,false,false
165,2.087,1099921698125,773225,,27,3.4783,2.087,20,0,0,ok,20,0,0,ok,20,20,Common,false,false,false
