asset_rank,asset_final_score,asset_id,template_id,owner,template_rank,template_final_score,template_score_component,original_mint_number,original_mint_score,original_mint_score_component,original_mint_status,surviving_mint_rank,surviving_mint_rank_score,surviving_mint_rank_score_component,surviving_mint_rank_status,live_supply,issued_supply,rarity_band,burned,price_used,market_data_used
39,80.0725,1099659329452,449935,yoitscharlie,6,68.1861,40.9117,4,0.979021,19.5804,ok,4,0.979021,19.5804,ok,144,144,Uncommon,false,false,false
40,79.8973,1099595902162,401779,qp..w.c.wam,2,93.9465,56.3679,8,0.588235,11.7647,ok,8,0.588235,11.7647,ok,18,18,Rare,false,false,false
41,79.8442,1099595898020,401767,toonboytwofu,1,94.1847,56.5108,6,0.583333,11.6667,ok,6,0.583333,11.6667,ok,13,13,Ultra Rare,false,false,false
42,79.7929,1099659329453,449935,yoitscharlie,6,68.1861,40.9117,5,0.972028,19.4406,ok,5,0.972028,19.4406,ok,144,144,Uncommon,false,false,false
43,79.7569,1099667784756,453934,yoitscharlie,5,70.8069,42.4841,7,0.931818,18.6364,ok,7,0.931818,18.6364,ok,89,89,Uncommon,false,false,false
44,79.5175,1099675899743,458168,cwzqw.wam,4,72.6652,43.5991,6,0.897959,17.9592,ok,6,0.897959,17.9592,ok,50,39,Rare,false,false,false
45,79.5131,1099659329454,449935,yoitscharlie,6,68.1861,40.9117,6,0.965035,19.3007,ok,6,0.965035,19.3007,ok,144,144,Uncommon,false,false,false
46,79.4822,1099642207718,441677,toonboytwofu,7,65.8037,39.4822,1,1,20,ok,1,1,20,ok,194,144,Uncommon,false,false,false
47,79.425,1099651222519,445272,newyork.gm,8,65.7084,39.425,1,1,20,ok,1,1,20,ok,196,146,Uncommon,false,false,false
48,79.3023,1099667784757,453934,yoitscharlie,5,70.8069,42.4841,8,0.920455,18.4091,ok,8,0.920455,18.4091,ok,89,89,Uncommon,false,false,false
49,79.275,1099642207719,441677,yoitscharlie,7,65.8037,39.4822,2,0.994819,19.8964,ok,2,0.994819,19.8964,ok,194,144,Uncommon,false,false,false
50,79.2333,1099659329455,449935,yoitscharlie,6,68.1861,40.9117,7,0.958042,19.1608,ok,7,0.958042,19.1608,ok,144,144,Uncommon,false,false,false
51,79.2198,1099651222520,445272,yoitscharlie,8,65.7084,39.425,2,0.994872,19.8974,ok,2,0.994872,19.8974,ok,196,146,Uncommon,false,false,false
52,79.0676,1099642207720,441677,pepperstake,7,65.8037,39.4822,3,0.989637,19.7927,ok,3,0.989637,19.7927,ok,194,144,Uncommon,false,false,false
53,79.0148,1099651222521,445272,yoitscharlie,8,65.7084,39.425,3,0.989744,19.7949,ok,3,0.989744,19.7949,ok,196,146,Uncommon,false,false,false
54,78.9537,1099659329456,449935,yoitscharlie,6,68.1861,40.9117,8,0.951049,19.021,ok,8,0.951049,19.021,ok,144,144,Uncommon,false,false,false
55,78.9106,1099595905091,401786,yoitscharlie,3,93.4223,56.0534,13,0.571429,11.4286,ok,13,0.571429,11.4286,ok,29,21,Rare,false,false,false
56,78.8604,1099642207721,441677,yoitscharlie,7,65.8037,39.4822,4,0.984456,19.6891,ok,4,0.984456,19.6891,ok,194,144,Uncommon,false,false,false
57,78.8477,1099667784758,453934,yoitscharlie,5,70.8069,42.4841,9,0.909091,18.1818,ok,9,0.909091,18.1818,ok,89,89,Uncommon,false,false,false
58,78.8096,1099651222522,445272,yoitscharlie,8,65.7084,39.425,4,0.984615,19.6923,ok,4,0.984615,19.6923,ok,196,146,Uncommon,false,false,false
59,78.7011,1099676157338,458168,,4,72.6652,43.5991,7,0.877551,17.551,ok,7,0.877551,17.551,ok,50,39,Rare,false,false,false
60,78.6739,1099659329457,449935,yoitscharlie,6,68.1861,40.9117,9,0.944056,18.8811,ok,9,0.944056,18.8811,ok,144,144,Uncommon,false,false,false
61,78.6532,1099642207722,441677,yoitscharlie,7,65.8037,39.4822,5,0.979275,19.5855,ok,5,0.979275,19.5855,ok,194,144,Uncommon,false,false,false
62,78.6044,1099651222523,445272,yoitscharlie,8,65.7084,39.425,5,0.979487,19.5897,ok,5,0.979487,19.5897,ok,196,146,Uncommon,false,false,false
63,78.446,1099642207723,441677,yoitscharlie,7,65.8037,39.4822,6,0.974093,19.4819,ok,6,0.974093,19.4819,ok,194,144,Uncommon,false,false,false
64,78.3994,1099651222524,445272,yoitscharlie,8,65.7084,39.425,6,0.974359,19.4872,ok,6,0.974359,19.4872,ok,196,146,Uncommon,false,false,false
65,78.3943,1099659329458,449935,neyau.wam,6,68.1861,40.9117,10,0.937063,18.7413,ok,10,0.937063,18.7413,ok,144,144,Uncommon,false,false,false
66,78.3931,1099667784759,453934,yoitscharlie,5,70.8069,42.4841,10,0.897727,17.9545,ok,10,0.897727,17.9545,ok,89,89,Uncommon,false,false,false
67,78.2386,1099642207724,441677,yoitscharlie,7,65.8037,39.4822,7,0.968912,19.3782,ok,7,0.968912,19.3782,ok,194,144,Uncommon,false,false,false
68,78.1942,1099651222525,445272,yoitscharlie,8,65.7084,39.425,7,0.969231,19.3846,ok,7,0.969231,19.3846,ok,196,146,Uncommon,false,false,false
69,78.1145,1099659329459,449935,pepperstake,6,68.1861,40.9117,11,0.93007,18.6014,ok,11,0.93007,18.6014,ok,144,144,Uncommon,false,false,false
70,78.0314,1099642207725,441677,yoitscharlie,7,65.8037,39.4822,8,0.963731,19.2746,ok,8,0.963731,19.2746,ok,194,144,Uncommon,false,false,false
71,77.9892,1099651222526,445272,yoitscharlie,8,65.7084,39.425,8,0.964103,19.2821,ok,8,0.964103,19.2821,ok,196,146,Uncommon,false,false,false
72,77.9387,1099667784760,453934,yoitscharlie,5,70.8069,42.4841,11,0.886364,17.7273,ok,11,0.886364,17.7273,ok,89,89,Uncommon,false,false,false
73,77.8849,1099676190597,458168,pepperstake,4,72.6652,43.5991,8,0.857143,17.1429,ok,8,0.857143,17.1429,ok,50,39,Rare,false,false,false
74,77.8347,1099659329460,449935,yoitscharlie,6,68.1861,40.9117,12,0.923077,18.4615,ok,12,0.923077,18.4615,ok,144,144,Uncommon,false,false,false
75,77.8242,1099642207726,441677,yoitscharlie,7,65.8037,39.4822,9,0.958549,19.171,ok,9,0.958549,19.171,ok,194,144,Uncommon,false,false,false
76,77.784,1099651222527,445272,yoitscharlie,8,65.7084,39.425,9,0.958974,19.1795,ok,9,0.958974,19.1795,ok,196,146,Uncommon,false,false,false
77,77.617,1099642207727,441677,yoitscharlie,7,65.8037,39.4822,10,0.953368,19.0674,ok,10,0.953368,19.0674,ok,194,144,Uncommon,false,false,false
78,77.5788,1099651222528,445272,neyau.wam,8,65.7084,39.425,10,0.953846,19.0769,ok,10,0.953846,19.0769,ok,196,146,Uncommon,false,false,false
79,77.5551,1099659329461,449935,yoitscharlie,6,68.1861,40.9117,13,0.916084,18.3217,ok,13,0.916084,18.3217,ok,144,144,Uncommon,false,false,false
80,77.5443,1099595902163,401779,yoitscharlie,2,93.9465,56.3679,9,0.529412,10.5882,ok,9,0.529412,10.5882,ok,18,18,Rare,false,false,false
81,77.4841,1099667784761,453934,,5,70.8069,42.4841,12,0.875,17.5,ok,12,0.875,17.5,ok,89,89,Uncommon,false,false,false
82,77.482,1099809598845,401786,cwzqw.wam,3,93.4223,56.0534,14,0.535714,10.7143,ok,14,0.535714,10.7143,ok,29,21,Rare,false,false,false
83,77.4096,1099642207728,441677,yoitscharlie,7,65.8037,39.4822,11,0.948187,18.9637,ok,11,0.948187,18.9637,ok,194,144,Uncommon,false,false,false
84,77.3738,1099651222529,445272,yoitscharlie,8,65.7084,39.425,11,0.948718,18.9744,ok,11,0.948718,18.9744,ok,196,146,Uncommon,false,false,false
85,77.2753,1099659329462,449935,yoitscharlie,6,68.1861,40.9117,14,0.909091,18.1818,ok,14,0.909091,18.1818,ok,144,144,Uncommon,false,false,false
86,77.2024,1099642207729,441677,yoitscharlie,7,65.8037,39.4822,12,0.943005,18.8601,ok,12,0.943005,18.8601,ok,194,144,Uncommon,false,false,false
87,77.1686,1099651222530,445272,yoitscharlie,8,65.7084,39.425,12,0.94359,18.8718,ok,12,0.94359,18.8718,ok,196,146,Uncommon,false,false,false
88,77.0685,1099676860884,458168,pepperstake,4,72.6652,43.5991,9,0.836735,16.7347,ok,9,0.836735,16.7347,ok,50,39,Rare,false,false,false
89,77.0295,1099667784762,453934,yoitscharlie,5,70.8069,42.4841,13,0.863636,17.2727,ok,13,0.863636,17.2727,ok,89,89,Uncommon,false,false,false
90,76.9957,1099659329463,449935,yoitscharlie,6,68.1861,40.9117,15,0.902098,18.042,ok,15,0.902098,18.042,ok,144,144,Uncommon,false,false,false
91,76.9952,1099642207730,441677,yoitscharlie,7,65.8037,39.4822,13,0.937824,18.7565,ok,13,0.937824,18.7565,ok,194,144,Uncommon,false,false,false
92,76.9634,1099651222531,445272,yoitscharlie,8,65.7084,39.425,13,0.938462,18.7692,ok,13,0.938462,18.7692,ok,196,146,Uncommon,false,false,false
93,76.7878,1099642207731,441677,yoitscharlie,7,65.8037,39.4822,14,0.932642,18.6528,ok,14,0.932642,18.6528,ok,194,144,Uncommon,false,false,false
