asset_rank,asset_final_score,asset_id,template_id,original_mint_number,surviving_mint_rank,template_final_score
127,74.0731,1099651222542,445272,24,24,67.3631
128,74.0474,1099642207741,441677,24,24,67.4684
129,74.0474,1099659329472,449935,24,24,67.4684
130,74.0373,1099667784768,453934,19,19,70.3652
131,73.7973,1099651222543,445272,25,25,67.3631
132,73.7678,1099642207742,441677,25,25,67.4684
133,73.7678,1099659329473,449935,25,25,67.4684
134,73.5827,1099667784769,453934,20,20,70.3652
135,73.5213,1099651222544,445272,26,26,67.3631
136,73.488,1099642207743,441677,26,26,67.4684
137,73.488,1099659329474,449935,26,26,67.4684
138,73.2728,1099680501631,458168,11,11,72.9986
139,73.2455,1099651222545,445272,27,27,67.3631
140,73.2082,1099642207744,441677,27,27,67.4684
141,73.2082,1099659329475,449935,27,27,67.4684
142,73.1437,1099595898022,401767,8,8,94.1285
143,73.1281,1099667784770,453934,21,21,70.3652
144,72.9697,1099651222546,445272,28,28,67.3631
145,72.9286,1099642207745,441677,28,28,67.4684
146,72.9286,1099659329476,449935,28,28,67.4684
147,72.7897,1099595902165,401779,11,11,93.8651
148,72.6937,1099651222547,445272,29,29,67.3631
149,72.6737,1099667784771,453934,22,22,70.3652
150,72.6488,1099642207746,441677,29,29,67.4684
151,72.6488,1099659329477,449935,29,29,67.4684
152,72.4179,1099651222548,445272,30,30,67.3631
153,72.3692,1099642207747,441677,30,30,67.4684
154,72.3692,1099659329478,449935,30,30,67.4684
155,72.2243,1099595905091,401786,13,13,93.7071
156,72.2202,1099681914569,458168,12,12,72.9986
157,72.2191,1099667784772,453934,23,23,70.3652
158,72.1421,1099651222549,445272,31,31,67.3631
159,72.0894,1099642207748,441677,31,31,67.4684
160,72.0894,1099659329479,449935,31,31,67.4684
161,71.8661,1099651222550,445272,32,32,67.3631
162,71.8096,1099642207749,441677,32,32,67.4684
163,71.8096,1099659329480,449935,32,32,67.4684
164,71.7645,1099667784773,453934,24,24,70.3652
165,71.7591,1099636300489,438904,1,1,52.9319
166,71.6637,1099636300490,438904,2,2,52.9319
167,71.5903,1099651222551,445272,33,33,67.3631
168,71.5681,1099636300491,438904,3,3,52.9319
169,71.53,1099642207750,441677,33,33,67.4684
170,71.53,1099659329481,449935,33,33,67.4684
171,71.4727,1099636300492,438904,4,4,52.9319
172,71.3773,1099636300493,438904,5,5,52.9319
173,71.3145,1099651222552,445272,34,34,67.3631
174,71.3101,1099667784774,453934,25,25,70.3652
175,71.2817,1099636300494,438904,6,6,52.9319
176,71.2502,1099642207751,441677,34,34,67.4684
177,71.2502,1099659329482,449935,34,34,67.4684
178,71.1863,1099636300495,438904,7,7,52.9319
179,71.1676,1099682369055,458168,13,13,72.9986
180,71.0909,1099636300496,438904,8,8,52.9319
181,71.0385,1099651222553,445272,35,35,67.3631
182,70.9953,1099636300497,438904,9,9,52.9319
183,70.9706,1099642207752,441677,35,35,67.4684
184,70.9706,1099659329483,449935,35,35,67.4684
185,70.8999,1099636300498,438904,10,10,52.9319
186,70.8555,1099667784775,453934,26,26,70.3652
187,70.8045,1099636300499,438904,11,11,52.9319
188,70.7627,1099651222554,445272,36,36,67.3631
189,70.7089,1099636300500,438904,12,12,52.9319
190,70.6908,1099642207753,441677,36,36,67.4684
191,70.6908,1099659329484,449935,36,36,67.4684
192,70.6847,1099629283848,435457,1,1,51.1412
193,70.6135,1099636300501,438904,13,13,52.9319
194,70.5963,1099629283849,435457,2,2,51.1412
195,70.5181,1099636300502,438904,14,14,52.9319
196,70.5081,1099629283850,435457,3,3,51.1412
197,70.4869,1099651222555,445272,37,37,67.3631
198,70.4367,1099595902166,401779,12,12,93.8651
199,70.4225,1099636300503,438904,15,15,52.9319
200,70.4197,1099629283851,435457,4,4,51.1412
201,70.411,1099642207754,441677,37,37,67.4684
202,70.411,1099659329485,449935,37,37,67.4684
203,70.4009,1099667784776,453934,27,27,70.3652
204,70.3315,1099629283852,435457,5,5,51.1412
205,70.3271,1099636300504,438904,16,16,52.9319
206,70.2431,1099629283853,435457,6,6,51.1412
207,70.2317,1099636300505,438904,17,17,52.9319
208,70.2243,1099809598845,401786,14,14,93.7071
