atomic_api_url,atomichub_url,collection_name,created_at_time,description,img,is_burnable,is_transferable,issued_supply,max_supply,name,schema_name,template_id,video
https://wax.api.atomicassets.io/atomicassets/v1/templates//784274,https://wax.atomichub.io/market?collection_name=&template_id=784274,,1709230527000,,bafybeihjnzpyf2sdfvlwlx3zehzzqwojgf6vmb4zyj5ppkfxllvkmpirre,True,True,12,0,⚡️⚡️⚡️ WAXP Sentinel Solar Savior ⚡️⚡️⚡️,,784274,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784276,https://wax.atomichub.io/market?collection_name=&template_id=784276,,1709231357500,,bafybeihqmxqgicy6dcvfts4cwus4c5yflqtuazvy6ytnyab6qw6svkmfea,True,True,6,0,⚡️⚡️⚡️ Darknet Lord ☠️,,784276,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784277,https://wax.atomichub.io/market?collection_name=&template_id=784277,,1709232594500,,bafybeieecpxe7pkjs5jvudpi6leepaksmthkqweaeyreuz4p5dqa5jz3vy,True,True,9,0,⚡️⚡️⚡️ Binary Blitzer 🌬🌬🌬,,784277,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784280,https://wax.atomichub.io/market?collection_name=&template_id=784280,,1709233749500,,bafybeidphuw3blvv4envw24ue7ni3zc22fjeq7eshdbvyqwiykvjwylhdu,True,True,6,0,⚡️⚡️⚡️ Bit-Skull ☠️,,784280,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784284,https://wax.atomichub.io/market?collection_name=&template_id=784284,,1709235702500,,bafybeicpvlg7y3dtmy5um3ezqf6cgttqozr5xqvk3mxbk7ytrh4mmpznx4,True,True,5,0,⚡️⚡️⚡️ Bitcoin Barbarian ⚡️⚡️⚡️,,784284,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784332,https://wax.atomichub.io/market?collection_name=&template_id=784332,,1709244901000,,bafybeihbkb3toazoygoqqiky6muq6zbkkwyietnyo7crshotbrjl64i2p4,True,True,11,50,⚡️⚡️⚡️ Bitforce Bitcoin Battler ⚡️⚡️⚡️,,784332,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784340,https://wax.atomichub.io/market?collection_name=&template_id=784340,,1709246116000,,bafybeif77ga2uciauafcfgv63h4mvkid6hncygtubxg55qwtjvstqa4jhe,True,True,10,50,⚡️⚡️⚡️ WAXP BOBBY $TORM 👀,,784340,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784344,https://wax.atomichub.io/market?collection_name=&template_id=784344,,1709247412000,,bafybeifqbtpwtp3xxhv7gjzenxxq5hobqoo44okgcwb6us3rej22xynnue,True,True,9,100,⚡️⚡️⚡️ WAXP JOKE$TER ⚡️⚡️⚡️,,784344,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784349,https://wax.atomichub.io/market?collection_name=&template_id=784349,,1709250169000,,bafybeia2c67fpae442anvmdqmcl2gw5y3cnmgztkxlvzc75jr3tv2dzevu,True,True,0,3,💋 SARAH PFLY 💋,,784349,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784350,https://wax.atomichub.io/market?collection_name=&template_id=784350,,1709250454000,,bafybeigdnrg6a7lajgyu5yfjwjvj35ohaeggmjzb5jyzgpq3hcsgtqqoja,True,True,7,0,💋 SARAH P2FLY 💋,,784350,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784413,https://wax.atomichub.io/market?collection_name=&template_id=784413,,1709293264500,,bafybeiea3vufx52uppkvkspnfvbddqo7vvodigo4soxtjvvfxwqylnfkp4,True,True,8,0,👉 Neon Nova Knightmare 👑👈,,784413,
https://wax.api.atomicassets.io/atomicassets/v1/templates//784419,https://wax.atomichub.io/market?collection_name=&template_id=784419,,1709294702000,,bafybeidbiyvnzxhmvebdbhhabbswh43it62v7kqo5qrlsbptlxduvspix4,True,True,8,0,👉 Nova Shadow Shredder 👑👈,,784419,
https://wax.api.atomicassets.io/atomicassets/v1/templates//788015,https://wax.atomichub.io/market?collection_name=&template_id=788015,,1710947472000,,bafybeihg7tohixmensuebcvikpbvnizaiftsx5jw2435lqseyb2or276hu,True,True,9,0,🍒 DeFi Dame 💋,,788015,
https://wax.api.atomicassets.io/atomicassets/v1/templates//904071,https://wax.atomichub.io/market?collection_name=&template_id=904071,,1769791148000,,,True,True,0,50,DEKO,,904071,https://bafybeicmmzmvacwl4v4jmylw3xokanrm7uildfroxgrfw5j7de44a2tscm.ipfs.w3s.link/SCTV%20NFT%20%23001%20-%20MONE.mp4
